node,xx,yy
24,0.727144906242,0.0714000048118
25,0.322432652739,0.0351118525857
26,0.465986816085,0.0
27,0.65758109492,0.0381162944669
20,0.577160646617,0.688303223987
21,0.985255119843,0.576028713627
22,0.0105900688374,0.659931585222
23,0.95972083429,0.293639297817
28,0.536870358721,0.137870793484
29,0.375610660924,0.246330778942
1,0.280294276438,0.660597165653
3,0.504632863627,0.510520355977
2,0.305465914416,0.567874333993
5,0.0613341860996,0.753272687151
4,0.43938338368,0.79694648854
7,0.241710300928,0.915385899027
6,0.146114710731,0.821754876814
9,0.644441400701,0.542553360517
8,0.338978318592,0.757601477741
11,0.0,0.594526338905
10,0.827150588904,0.66850386924
13,0.347086890127,0.994511847622
12,0.146144581191,0.888674566235
15,0.904774181093,0.202736140019
14,0.480784446299,0.61854268872
17,0.429079252634,0.983073788286
16,1.0,0.480490084631
19,0.990070074589,0.388033974862
18,0.0323319468824,0.439379213945
31,0.579884360127,0.397514022021
30,0.80192003553,0.141709614599
34,0.723867920655,0.361130370701
33,0.802115392742,0.350621080674
32,0.468804639272,0.265140468779
